title,url,watchnum,dm,uptime,upname
【大学课程】高等数学 Calculus 数列与级数 第一集 元智大学,//www.bilibili.com/video/BV15g4y187gk?from=search,114,0,2020/4/5,JUSTlaolin
【大学课程】工程材料 化工  元智大学 原子和离子排列的缺陷 第三集,//www.bilibili.com/video/BV15g4y1a73k?from=search,19,0,2020/3/30,JUSTlaolin
【布里斯托大学课程】-2021年计算机视觉-computer vision-CV - 5 计算机视觉中运动模拟,//www.bilibili.com/video/BV1ay4y1J7cd?from=search,8,0,2021/2/22,UK_Starlight
大学课程3,//www.bilibili.com/video/BV1Ry4y1E72K?from=search,0,0,2021/2/18,乐尽
大学课程4,//www.bilibili.com/video/BV1yy4y1E7PV?from=search,0,0,2021/2/18,乐尽
（密歇根大学课程Week3-8）Time Value of Money（原名金融导论）,//www.bilibili.com/video/BV1By4y1r7ny?from=search,2,0,2020/10/24,linksysram
【陆梓谦】SA/准大一/和我学学大学课程叭！,//www.bilibili.com/video/BV1Wy4y1y73c?from=search,15,0,2020/9/11,陆梓谦ZQ
波兰大学课程设置 科普视频 途波波兰留学移民,//www.bilibili.com/video/BV1NC4y1p7ut?from=search,28,0,2020/6/1,途波留学移民
计算机2（大学课程）,//www.bilibili.com/video/BV1PC4y1W71L?from=search,69,0,2020/4/28,尽制
【布里斯托大学课程】-2021年计算机视觉-computer vision - CV - 6 双目系统,//www.bilibili.com/video/BV1Er4y1A7zy?from=search,10,0,2021/2/23,UK_Starlight
大学课程,//www.bilibili.com/video/BV1j64y1f7Nt?from=search,6,0,2020/12/7,2574-
（密歇根大学课程Week2-4）Time Value of Money（原名金融导论）,//www.bilibili.com/video/BV1fk4y1C7jD?from=search,4,0,2020/10/18,linksysram
新手怎么开网店，如何上架产品，淘宝开店教程全集，怎样开淘宝店培训教学，淘宝大学课程，网店怎么开,//www.bilibili.com/video/BV1Ck4y1k7DU?from=search,40,0,2020/5/5,ji台欣怡
【大学课程】计算机网络-第七周-3VLAN原理,//www.bilibili.com/video/BV1Rk4y197x9?from=search,76,0,2020/4/7,HOLMES_MA
（密歇根大学课程Week3-9）Time Value of Money（原名金融导论）,//www.bilibili.com/video/BV1rD4y197jQ?from=search,0,0,2020/10/24,linksysram
（密歇根大学课程Week3-5）Time Value of Money（原名金融导论）,//www.bilibili.com/video/BV1ND4y197DG?from=search,2,0,2020/10/24,linksysram
夜课#大学课程#透过华为事件解读中美关,//www.bilibili.com/video/BV1rD4y1o7tm?from=search,29,0,2020/9/20,理查德健钊
01伯克利开放大学课程数字信号处理（DSP）,//www.bilibili.com/video/BV1gD4y1o7fv?from=search,40,0,2020/9/15,西安电子科技大学微电子学院
大学课程生活——英语视频,//www.bilibili.com/video/BV1Ra4y1H73R?from=search,21,0,2020/12/21,恒小周
（密歇根大学课程Week3-10）Time Value of Money（原名金融导论）,//www.bilibili.com/video/BV1ca4y1s7Tn?from=search,0,0,2020/10/24,linksysram
（密歇根大学课程Week2-6）Time Value of Money（原名金融导论）,//www.bilibili.com/video/BV1ga4y1L7XB?from=search,8,0,2020/10/18,linksysram
资料福利：简历模板+CFA资料+技术交底+大学课程讲解习题答案,//www.bilibili.com/video/BV1ja4y1L7ge?from=search,27,0,2020/10/9,沈阳建大人
中华文化典籍的对外译介与传播【大学课程内容展示】,//www.bilibili.com/video/BV1wa4y1a7UY?from=search,105,0,2020/7/13,易辰ClementLevi
JQuery一节课就学会，参与大学课程，师生互动，同学被提问回答问题 css选择器 id class name  html css javaScript,//www.bilibili.com/video/BV1La4y147o8?from=search,119,0,2020/4/29,学霸帅帅
【大学课程】计算机网络-第七周-2VLAN原理,//www.bilibili.com/video/BV16a4y1x7Wm?from=search,116,0,2020/4/7,HOLMES_MA
【大学课程】工程材料 化工  元智大学 原子和离子排列的缺陷 第六集,//www.bilibili.com/video/BV11a4y1t7y4?from=search,22,0,2020/4/6,JUSTlaolin
【大学课程】《诗画中国—中国山水画史英文专题讲座》（全6集）,//www.bilibili.com/video/BV1xa4y1t7pX?from=search,564,0,2020/3/31,爱学习的小刚子
【大学课程】《文明使者——电的前世、今生、未来》（共9集）,//www.bilibili.com/video/BV1Ya4y1t7Sh?from=search,343,0,2020/3/30,爱学习的小刚子
【大学课程】计算机网络-第五周-1,//www.bilibili.com/video/BV1La4y1t7G7?from=search,41,0,2020/4/1,HOLMES_MA
淘宝大学课程怎么样？淘宝大学课程好吗？,//www.bilibili.com/video/BV1Jt4y167xu?from=search,5,0,2021/1/27,5OrxPIx
新西兰大学课程推荐Part2,//www.bilibili.com/video/BV1Dt4y1e7Ts?from=search,18,0,2020/11/5,qinjiuboa
[大学课程][免费视频]开学考试的人，还好吗？,//www.bilibili.com/video/BV1tt4y1D75F?from=search,167,0,2020/8/1,没关系做任要开心
#大学课程##山东专升本##专升本##大,//www.bilibili.com/video/BV1Kt4y197KA?from=search,646,0,2020/6/20,山东专升本--王老师
黎vlog‖两天的学习记录‖大学课程‖素描水彩结课,//www.bilibili.com/video/BV1et4y117Kg?from=search,17,0,2020/5/21,黎夫亦之Bessie
【Coursera】宾夕法尼亚大学课程团队文化的力量The Power of Team Culture,//www.bilibili.com/video/BV1Ht4y117N3?from=search,320,0,2020/5/13,红松鼠CuO
